domain,filename,image_path,mean_saturation,edge_density,local_contrast,texture_entropy,self_similarity,clutter_score,hard_negative_score
forest_dense,forest_dense_ (117).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (117).jpg,33.725397,0.395857,7.006987,5.693144,0.000000,0.332106,0.624226
forest_dense,forest_dense_ (12).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (12).jpg,0.000000,0.273754,5.260159,5.192750,0.000000,0.251738,0.662922
forest_dense,forest_dense_ (12).png,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (12).png,83.282523,0.634798,11.548859,4.752733,0.000000,0.279574,0.527833
forest_dense,forest_dense_ (121).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (121).jpg,129.438761,0.264953,6.627757,5.544974,0.000000,0.306085,0.461676
forest_dense,forest_dense_ (123).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (123).jpg,81.988737,0.204202,4.652416,5.815260,0.000000,0.292839,0.504982
forest_dense,forest_dense_ (125).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (125).jpg,18.410744,0.272197,6.704275,5.593424,0.000000,0.334281,0.651101
forest_dense,forest_dense_ (130).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (130).jpg,40.238914,0.337267,7.840025,5.714179,0.000000,0.304774,0.613456
forest_dense,forest_dense_ (132).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (132).jpg,38.260047,0.223314,4.512512,4.091282,0.515521,0.324082,0.626811
forest_dense,forest_dense_ (137).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (137).jpg,149.223373,0.216249,7.079920,4.228508,0.000000,0.279822,0.418369
forest_dense,forest_dense_ (14).png,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (14).png,23.775165,0.484216,9.597028,5.421467,0.061864,0.366406,0.666081
forest_dense,forest_dense_ (141).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (141).jpg,106.624908,0.663225,17.007059,5.318382,0.000000,0.323688,0.533890
forest_dense,forest_dense_ (142).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (142).jpg,33.350315,0.447021,8.411798,5.135948,0.000000,0.309025,0.620389
forest_dense,forest_dense_ (143).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (143).jpg,139.840587,0.354640,9.645317,5.250080,0.000000,0.312251,0.471440
forest_dense,forest_dense_ (145).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (145).jpg,122.360400,0.320607,8.890517,4.537231,0.245719,0.269070,0.471766
forest_dense,forest_dense_ (146).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (146).jpg,38.337668,0.126258,3.731122,5.412301,0.000000,0.321092,0.505571
forest_dense,forest_dense_ (147).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (147).jpg,123.068116,0.145460,4.402357,4.723037,0.000000,0.290987,0.352629
forest_dense,forest_dense_ (148).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (148).jpg,47.507495,0.285901,6.203094,5.518528,0.000000,0.318235,0.593803
forest_dense,forest_dense_ (149).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (149).jpg,75.342987,0.331906,8.002540,5.030313,0.000000,0.317214,0.538782
forest_dense,forest_dense_ (150).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (150).jpg,61.974410,0.270860,13.317523,4.387523,0.228097,0.291212,0.593831
forest_dense,forest_dense_ (151).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (151).jpg,94.182919,0.354650,9.246058,5.140411,0.000000,0.317659,0.513785
forest_dense,forest_dense_ (152).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (152).jpg,105.553595,0.357197,5.167297,4.923894,0.065132,0.354013,0.478705
forest_dense,forest_dense_ (153).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (153).jpg,0.000000,0.366165,10.613674,5.316711,0.000000,0.328906,0.699866
forest_dense,forest_dense_ (154).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (154).jpg,53.850720,0.582647,12.396422,5.706645,0.000000,0.358038,0.615186
forest_dense,forest_dense_ (155).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (155).jpg,103.046964,0.729382,17.596449,5.597746,0.000000,0.327460,0.546310
forest_dense,forest_dense_ (157).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (157).jpg,46.968601,0.815057,14.244043,5.622965,0.000000,0.311393,0.631799
forest_dense,forest_dense_ (159).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (159).jpg,12.188236,0.328211,9.014255,5.350142,0.000000,0.328604,0.671108
forest_dense,forest_dense_ (16).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (16).jpg,4.996238,0.426750,4.282002,4.763894,0.000000,0.324831,0.642192
forest_dense,forest_dense_ (161).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (161).jpg,80.445146,0.479097,16.759817,5.165102,0.000000,0.301122,0.573361
forest_dense,forest_dense_ (163).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (163).jpg,0.000000,0.762290,6.909043,5.430723,0.000000,0.426861,0.695072
forest_dense,forest_dense_ (165).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (165).jpg,187.434611,0.293905,5.791846,3.528951,0.000000,0.311607,0.395942
forest_dense,forest_dense_ (167).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (167).jpg,20.014517,0.397297,5.457374,5.045315,0.000000,0.341093,0.631175
forest_dense,forest_dense_ (169).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (169).jpg,13.058809,0.466339,12.378192,5.699485,0.000000,0.345485,0.688630
forest_dense,forest_dense_ (171).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (171).jpg,51.433655,0.036641,1.881976,5.625983,0.000000,0.000000,0.351167
forest_dense,forest_dense_ (173).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (173).jpg,108.358729,0.308293,7.424788,4.007576,0.244201,0.322894,0.473767
forest_dense,forest_dense_ (175).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (175).jpg,64.454535,0.205369,2.306582,3.087018,0.660193,0.319278,0.538668
forest_dense,forest_dense_ (177).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (177).jpg,12.759531,0.314191,5.777165,5.401012,0.000000,0.240827,0.647771
forest_dense,forest_dense_ (18).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (18).jpg,20.856056,0.381660,4.412117,5.584889,0.000000,0.320259,0.634472
forest_dense,forest_dense_ (180).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (180).jpg,0.000000,0.627735,8.491829,5.259638,0.023588,0.318762,0.690069
forest_dense,forest_dense_ (182).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (182).jpg,34.529379,0.231229,5.793808,5.262197,0.145567,0.329615,0.631146
forest_dense,forest_dense_ (183).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (183).jpg,13.171487,0.159207,4.238176,3.748949,0.067048,0.195957,0.528202
forest_dense,forest_dense_ (185).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (185).jpg,15.999492,0.230347,4.066087,4.915780,0.000000,0.297035,0.623290
forest_dense,forest_dense_ (186).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (186).jpg,187.128421,0.083415,2.302539,4.683768,0.000000,0.316383,0.281972
forest_dense,forest_dense_ (189).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (189).jpg,54.730191,0.779216,16.733704,5.696951,0.000000,0.329028,0.631003
forest_dense,forest_dense_ (191).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (191).jpg,147.459141,0.469721,7.563707,4.072161,0.090700,0.365651,0.439550
forest_dense,forest_dense_ (194).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (194).jpg,81.821284,0.164316,2.546518,5.553218,0.000000,0.284719,0.454719
forest_dense,forest_dense_ (195).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (195).jpg,181.465789,0.065300,2.410991,3.288978,0.000000,0.267936,0.213028
forest_dense,forest_dense_ (199).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (199).jpg,78.607986,0.755937,12.424525,5.388919,0.000000,0.356648,0.569421
forest_dense,forest_dense_ (2).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (2).jpg,58.464854,0.366959,8.722464,4.953212,0.008584,0.236710,0.563595
forest_dense,forest_dense_ (202).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (202).jpg,10.513833,0.499005,10.475258,5.391109,0.000000,0.281628,0.677694
forest_dense,forest_dense_ (203).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (203).jpg,21.272297,0.377638,6.314702,4.949233,0.000000,0.291478,0.624723
forest_dense,forest_dense_ (204).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (204).jpg,15.268141,0.658066,13.826010,5.798874,0.029904,0.295867,0.690292
forest_dense,forest_dense_ (205).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (205).jpg,124.906008,0.398947,9.683939,4.904767,0.316703,0.324185,0.502476
forest_dense,forest_dense_ (209).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (209).jpg,53.730441,0.621998,6.344685,5.832808,0.000000,0.321944,0.583429
forest_dense,forest_dense_ (211).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (211).jpg,88.889873,0.202989,7.509674,5.477716,0.000000,0.276721,0.502898
forest_dense,forest_dense_ (212).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (212).jpg,26.487653,0.041673,1.830539,5.220585,0.000000,0.323948,0.428107
forest_dense,forest_dense_ (214).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (214).jpg,45.513449,0.520899,6.191053,5.215409,0.000000,0.356605,0.595087
forest_dense,forest_dense_ (216).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (216).jpg,21.486783,0.541780,13.057505,5.541109,0.020331,0.330988,0.677556
forest_dense,forest_dense_ (218).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (218).jpg,41.621921,0.341436,4.247539,5.170450,0.000000,0.253079,0.581260
forest_dense,forest_dense_ (220).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (220).jpg,110.003690,0.077533,2.712401,4.706211,0.000000,0.270684,0.292516
forest_dense,forest_dense_ (221).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (221).jpg,32.197540,0.300279,3.508748,5.300716,0.000000,0.310481,0.605157
forest_dense,forest_dense_ (223).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (223).jpg,72.376841,0.571683,6.639034,5.293912,0.000000,0.342779,0.549171
forest_dense,forest_dense_ (225).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (225).jpg,37.410783,0.415391,4.004227,5.069108,0.000000,0.322313,0.591385
forest_dense,forest_dense_ (230).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (230).jpg,57.092909,0.267290,6.974567,4.728398,0.000000,0.343122,0.559948
forest_dense,forest_dense_ (233).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (233).jpg,73.715220,0.443620,13.580514,5.534543,0.000000,0.326478,0.581162
forest_dense,forest_dense_ (234).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (234).jpg,54.337725,0.191371,3.131113,5.192566,0.000000,0.315200,0.531035
forest_dense,forest_dense_ (236).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (236).jpg,92.548093,0.006082,1.103735,4.505886,0.000000,0.000000,0.211781
forest_dense,forest_dense_ (239).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (239).jpg,89.251575,0.195640,3.348129,5.386184,0.000000,0.354613,0.482707
forest_dense,forest_dense_ (24).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (24).jpg,22.201090,0.008797,0.988469,5.416376,0.000000,0.325554,0.405284
forest_dense,forest_dense_ (240).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (240).jpg,39.060041,0.136728,4.287126,5.338250,0.017308,0.276142,0.513019
forest_dense,forest_dense_ (242).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (242).jpg,131.673422,0.444993,9.453499,4.419719,0.013670,0.329683,0.446383
forest_dense,forest_dense_ (244).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (244).jpg,0.000000,0.090912,1.717563,4.522054,0.000000,0.287793,0.498477
forest_dense,forest_dense_ (248).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (248).jpg,148.307564,0.138288,3.010247,5.283873,0.000000,0.321027,0.360630
forest_dense,forest_dense_ (251).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (251).jpg,137.190237,0.640807,7.708105,5.166492,0.000000,0.370751,0.465423
forest_dense,forest_dense_ (253).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (253).jpg,48.021881,0.409032,7.374817,4.405149,0.408830,0.364744,0.622990
forest_dense,forest_dense_ (257).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (257).jpg,0.000000,0.305171,13.684138,4.786148,0.430385,0.224377,0.742070
forest_dense,forest_dense_ (26).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (26).jpg,97.953032,0.099606,1.823979,5.210124,0.000000,0.321664,0.354412
forest_dense,forest_dense_ (260).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (260).jpg,47.707253,0.080550,1.775211,5.506142,0.000000,0.327766,0.434185
forest_dense,forest_dense_ (261).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (261).jpg,44.811221,0.110547,2.889776,5.103199,0.066338,0.337960,0.474466
forest_dense,forest_dense_ (264).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (264).jpg,72.597901,0.577186,11.296764,5.811586,0.000000,0.309938,0.570851
forest_dense,forest_dense_ (266).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (266).jpg,39.144454,0.262462,6.236420,4.111150,0.013040,0.323033,0.568505
forest_dense,forest_dense_ (268).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (268).jpg,0.000000,0.612438,9.888799,5.388970,0.506802,0.351201,0.766991
forest_dense,forest_dense_ (270).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (270).jpg,0.000000,0.549959,14.673077,5.766068,0.342971,0.328728,0.766239
forest_dense,forest_dense_ (273).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (273).jpg,150.779138,0.486563,10.310241,4.031573,0.000000,0.344209,0.437136
forest_dense,forest_dense_ (274).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (274).jpg,0.000000,0.811296,26.952660,5.784266,0.240839,0.362009,0.813851
forest_dense,forest_dense_ (276).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (276).jpg,0.000000,0.691316,12.202497,5.783496,0.000000,0.365609,0.713760
forest_dense,forest_dense_ (28).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (28).jpg,66.744086,0.507583,16.853210,5.619817,0.000000,0.326225,0.609258
forest_dense,forest_dense_ (281).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (281).jpg,47.895501,0.561820,10.335582,5.839777,0.000000,0.348213,0.615461
forest_dense,forest_dense_ (283).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (283).jpg,75.048965,0.000149,0.659924,4.346944,0.000000,0.000000,0.230550
forest_dense,forest_dense_ (285).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (285).jpg,98.330450,0.743283,11.025309,5.354424,0.000000,0.378166,0.527706
forest_dense,forest_dense_ (29).png,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (29).png,58.901774,0.050934,1.894510,5.372810,0.000000,0.272355,0.378158
forest_dense,forest_dense_ (291).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (291).jpg,27.046224,0.395811,5.901771,4.751994,0.152417,0.307280,0.627022
forest_dense,forest_dense_ (292).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (292).jpg,149.900799,0.588809,15.396420,4.637527,0.119133,0.341922,0.496434
forest_dense,forest_dense_ (295).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (295).jpg,93.212147,0.741608,7.296455,5.266594,0.000000,0.353806,0.514247
forest_dense,forest_dense_ (297).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (297).jpg,93.302171,0.412212,4.534373,5.264107,0.000000,0.279012,0.493572
forest_dense,forest_dense_ (299).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (299).jpg,18.668816,0.174784,2.743617,5.412649,0.000000,0.340839,0.587503
forest_dense,forest_dense_ (3).png,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (3).png,30.737353,0.448438,16.401272,5.737023,0.000000,0.289345,0.669464
forest_dense,forest_dense_ (30).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (30).jpg,65.728626,0.482532,19.579517,5.599464,0.000000,0.291385,0.620415
forest_dense,forest_dense_ (301).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (301).jpg,80.106939,0.580168,4.864046,5.201210,0.000000,0.292092,0.518520
forest_dense,forest_dense_ (302).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (302).jpg,83.985572,0.670801,15.101100,5.699793,0.000000,0.318763,0.568689
forest_dense,forest_dense_ (305).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (305).jpg,88.083635,0.212809,3.983329,4.715143,0.000000,0.330207,0.480186
forest_dense,forest_dense_ (306).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (306).jpg,30.426069,0.369958,9.995549,5.112096,0.000000,0.296419,0.631118
forest_dense,forest_dense_ (310).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (310).jpg,95.598437,0.244038,5.179630,4.310275,0.407044,0.329830,0.518590
forest_dense,forest_dense_ (312).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (312).jpg,64.517693,0.685186,8.581937,5.160810,0.121412,0.357593,0.585515
forest_dense,forest_dense_ (314).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (314).jpg,61.731744,0.175684,2.746965,5.298714,0.000000,0.331148,0.505124
forest_dense,forest_dense_ (317).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (317).jpg,95.431240,0.474279,10.036634,5.149207,0.000000,0.364638,0.520193
forest_dense,forest_dense_ (319).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (319).jpg,71.896281,0.773317,10.110517,5.728597,0.000000,0.325748,0.568158
forest_dense,forest_dense_ (32).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (32).jpg,60.089191,0.434059,13.856143,5.740139,0.000000,0.324734,0.607261
forest_dense,forest_dense_ (320).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (320).jpg,79.897157,0.111639,2.096266,5.326600,0.000000,0.311277,0.403669
forest_dense,forest_dense_ (322).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (322).jpg,33.603695,0.574091,17.903816,5.440158,0.419298,0.284179,0.725244
forest_dense,forest_dense_ (323).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (323).jpg,42.306711,0.393555,6.054555,4.605650,0.000000,0.220663,0.566406
forest_dense,forest_dense_ (331).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (331).jpg,16.853751,0.147085,2.312947,4.479945,0.252856,0.331702,0.562401
forest_dense,forest_dense_ (332).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (332).jpg,97.076150,0.377106,9.940732,5.852539,0.000000,0.294859,0.518110
forest_dense,forest_dense_ (334).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (334).jpg,61.459412,0.693574,15.862184,5.579857,0.000000,0.384510,0.620129
forest_dense,forest_dense_ (336).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (336).jpg,94.962569,0.321035,9.204482,4.728093,0.000000,0.319911,0.498642
forest_dense,forest_dense_ (34).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (34).jpg,161.282630,0.208025,4.483877,4.490325,0.043371,0.326003,0.416959
forest_dense,forest_dense_ (340).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (340).jpg,49.496241,0.476171,10.267102,5.642302,0.000000,0.359696,0.613354
forest_dense,forest_dense_ (342).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (342).jpg,41.005544,0.452632,15.252091,5.642302,0.066554,0.297212,0.654691
forest_dense,forest_dense_ (344).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (344).jpg,11.895263,0.722181,18.929440,5.866219,0.000000,0.374286,0.724352
forest_dense,forest_dense_ (346).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (346).jpg,82.204262,0.500342,13.619904,5.638777,0.000000,0.307974,0.563933
forest_dense,forest_dense_ (347).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (347).jpg,60.230547,0.694597,24.988234,5.362796,0.000000,0.335814,0.659051
forest_dense,forest_dense_ (350).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (350).jpg,61.488195,0.634560,16.578009,5.384361,0.000000,0.380214,0.622481
forest_dense,forest_dense_ (351).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (351).jpg,35.094866,0.401237,7.539643,5.713523,0.047316,0.313525,0.628505
forest_dense,forest_dense_ (353).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (353).jpg,82.822524,0.537063,19.424810,5.350082,0.000000,0.295147,0.587063
forest_dense,forest_dense_ (358).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (358).jpg,94.256503,0.037306,1.888953,4.893091,0.000000,0.285093,0.284969
forest_dense,forest_dense_ (359).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (359).jpg,55.152924,0.299676,4.967927,5.599194,0.000000,0.308014,0.572975
forest_dense,forest_dense_ (36).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (36).jpg,0.000000,0.359500,3.677665,5.174259,0.111614,0.338666,0.678091
forest_dense,forest_dense_ (361).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (361).jpg,18.670127,0.846903,10.146622,5.535844,0.158238,0.462526,0.700157
forest_dense,forest_dense_ (362).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (362).jpg,170.270753,0.198008,7.006333,5.163470,0.000000,0.327651,0.435731
forest_dense,forest_dense_ (364).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (364).jpg,28.993063,0.313962,9.570824,5.153375,0.153625,0.301254,0.653585
forest_dense,forest_dense_ (367).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (367).jpg,64.424583,0.363796,8.437333,5.458254,0.096846,0.292837,0.583312
forest_dense,forest_dense_ (369).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (369).jpg,63.549312,0.490301,10.979364,5.765437,0.000000,0.328045,0.587763
forest_dense,forest_dense_ (371).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (371).jpg,23.829377,0.584931,17.760679,5.755569,0.000000,0.300401,0.689606
forest_dense,forest_dense_ (374).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (374).jpg,41.402392,0.352455,15.780965,4.717307,0.054998,0.287050,0.631167
forest_dense,forest_dense_ (376).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (376).jpg,85.118492,0.732383,10.356413,5.799302,0.000000,0.355229,0.548018
forest_dense,forest_dense_ (378).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (378).jpg,82.124970,0.693944,11.159187,5.498580,0.000000,0.342106,0.555957
forest_dense,forest_dense_ (38).jpg,G:\내 드라이브\데이터셋\forest_dense\forest_dense_ (38).jpg,19.623845,0.051564,1.784258,5.447332,0.000000,0.310900,0.455040
